Qty,Value,References,Footprint,Suggested_MPN_or_Type,Notes
4,74HC00,U28 U35 U44 U48,Package_DIP:DIP-14_W7.62mm,SN74HC00N,jellybean DIP logic; need a DIP socket too
1,74HC02,U18,Package_DIP:DIP-14_W7.62mm,SN74HC02N,jellybean DIP logic; need a DIP socket too
1,74HC04,U1,Package_DIP:DIP-14_W7.62mm,SN74HC04N,jellybean DIP logic; need a DIP socket too
2,74HC08,U19 U40,Package_DIP:DIP-14_W7.62mm,SN74HC08N,jellybean DIP logic; need a DIP socket too
2,74HC86,U12 U16,Package_DIP:DIP-14_W7.62mm,SN74HC86N,jellybean DIP logic; need a DIP socket too
11,74HC161,U11 U21 U22 U25 U27 U34 U42 U46 U49 U51 U52,Package_DIP:DIP-16_W7.62mm,SN74HC161N,jellybean DIP logic; need a DIP socket too
1,74HC164,U39,Package_DIP:DIP-14_W7.62mm,SN74HC164N,jellybean DIP logic; need a DIP socket too
2,74HC165,U43 U45,Package_DIP:DIP-16_W7.62mm,SN74HC165N,jellybean DIP logic; need a DIP socket too
6,74HC173,U2 U3 U5 U6 U10 U17,Package_DIP:DIP-16_W7.62mm,CD74HC173E,jellybean DIP logic; need a DIP socket too
1,74HC174,U8,Package_DIP:DIP-16_W7.62mm,SN74HC174N,jellybean DIP logic; need a DIP socket too
1,74HC193,U37,Package_DIP:DIP-16_W7.62mm,SN74HC193N,jellybean DIP logic; need a DIP socket too
6,74HC245,U4 U15 U23 U41 U50 U53,Package_DIP:DIP-20_W7.62mm,SN74HC245N,jellybean DIP logic; need a DIP socket too
2,74HC283,U13 U14,Package_DIP:DIP-16_W7.62mm,CD74HC283E,jellybean DIP logic; need a DIP socket too
1,CY62256 32k RAM,U26,Package_DIP:DIP-28_W15.24mm,AS6C62256-55PCN (or CY62256NLL-70PXC),CRITICAL: buy genuine (Mouser/DigiKey/element14)
1,SST39SF010A LSB,U9,Package_DIP:DIP-32_W15.24mm_Socket,SST39SF010A-70-4C-PHE,CRITICAL: buy genuine (Mouser/DigiKey/element14)
1,SST39SF010A MSB,U7,Package_DIP:DIP-32_W15.24mm_Socket,SST39SF010A-70-4C-PHE,CRITICAL: buy genuine (Mouser/DigiKey/element14)
1,SST39SF040A ROM,U24,Package_DIP:DIP-32_W15.24mm_Socket,SST39SF040-70-4C-PHE,CRITICAL: buy genuine (Mouser/DigiKey/element14)
1,ACO-1.8432MHz,X1,Oscillator:Oscillator_DIP-14,1.8432MHz DIP oscillator (full/half can),"CRITICAL: genuine, UART baud timing"
20,100nF,C1 C2 C3 C4 C5 C6 C7 C8 C9 C10 C11 C12 C13 C14 C15 C16 C17 C18 C19 C20,Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm,,
4,200pF,C21 C22 C23 C24,Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm,,
2,4.7k,R9 R14,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,
8,470,R1 R2 R3 R4 R5 R6 R7 R8,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,
1,47ÂµF,C52,Capacitor_THT:CP_Radial_D7.5mm_P2.50mm,,
1,Conn_02x16_Top_Bottom,J2,Connector_PinHeader_2.54mm:PinHeader_2x16_P2.54mm_Vertical,,
1,RESET,SW1,Button_Switch_THT:SW_PUSH_6mm,,
1,UART,J1,Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical,,
